id,question,route,response,expected,score
1,Quels modes de paiement acceptez-vous ?,PDF,"Nous acceptons plusieurs modes de paiement :

1. Carte de crédit/débit (Visa, Mastercard, American Express)
2. PayPal
3. Virement bancaire
4. Chèque
5. Espèce en magasin (selon les conditions locales)","Nous acceptons les paiements par carte bancaire, prélèvement automatique, virement bancaire et PayPal. Le prélèvement automatique garantit de ne jamais manquer une échéance.",2
2,Comment puis-je consulter ma facture en ligne ?,PDF,Vous pouvez consulter vos factures en vous connectant à votre espace client sur notre site web ou via l'application mobile. Toutes vos factures sont disponibles dans la section 'Mes factures' pendant ,Vous pouvez consulter vos factures en vous connectant à votre espace client sur le site web ou via l'application mobile. Toutes les factures sont disponibles dans la section 'Mes factures' pendant 24 ,3
3,Puis-je partager mon forfait data avec ma famille ?,PDF,"Oui, nous proposons des forfaits famille qui permettent de partager un pool de données entre plusieurs lignes. Contactez notre service client pour plus d'informations sur nos offres multi-lignes.","Oui, nous proposons des forfaits famille qui permettent de partager un pool de données entre plusieurs lignes. Contactez le service client pour plus d'informations sur les offres multi-lignes.",3
4,Comment activer le roaming international ?,PDF,Le roaming international est généralement activé par défaut. Vous pouvez vérifier son statut dans votre espace client ou en appelant le service client.,Le roaming international est généralement activé par défaut. Vous pouvez vérifier son statut dans votre espace client ou en appelant le service client. Pensez à vérifier les tarifs avant de voyager.,3
5,Quels sont les tarifs de roaming en Europe ?,PDF,"Dans l'Union Européenne, vous bénéficiez du 'roaming comme à la maison'. Vous pouvez utiliser votre forfait français sans surcoût dans les pays de l'UE, selon les limites de votre contrat.","Dans l'Union Européenne, vous bénéficiez du 'roaming comme à la maison'. Vous pouvez utiliser votre forfait français sans surcoût dans les pays de l'UE, selon les limites de votre contrat.",3
6,"J'ai oublié mon mot de passe, que faire ?",PDF,Cliquez sur 'Mot de passe oublié' sur la page de connexion. Vous recevrez un lien de réinitialisation par email ou SMS. Suivez les instructions pour créer un nouveau mot de passe.,Cliquez sur 'Mot de passe oublié' sur la page de connexion. Vous recevrez un lien de réinitialisation par email ou SMS. Suivez les instructions pour créer un nouveau mot de passe.,3
7,Comment configurer mes MMS ?,PDF,"Pour configurer vos MMS (Messages Multimédias) sur votre appareil Apple, vous pouvez suivre les étapes ci-dessous :

1. Accédez à la page d'accueil de votre téléphone et ouvrez l'application ""Messages","Les paramètres MMS sont généralement configurés automatiquement. Si ce n'est pas le cas, rendez-vous dans Réglages > Réseau mobile > Noms des points d'accès et ajoutez la configuration disponible sur ",2
8,Quel est le prix de l'iPhone 15 en 256GB ?,PDF,"iPhone 15 – 256GB : 1099€
(Source : Catalogue téléphones)",L'iPhone 15 en 256GB coûte 1099€.,3
9,Quel iPhone a été commercialisé en 2023 ?,PDF,iPhone commercialisés en 2023 : iPhone 15,L'iPhone 15 a été commercialisé en 2023.,3
10,Quels sont les coloris disponibles pour l'iPhone 16 ?,PDF,"Les couleurs disponibles pour l'iPhone 16 n'ont pas été spécifiées dans le contexte fourni. Cependant, en référence aux modèles précédents, il est possible que les couleurs soient similaires à celles ","L'iPhone 16 est disponible en Noir, Blanc, Bleu sarcelle, Rose et Outremer.",2
11,Quel est l'iPhone le moins cher disponible en 128GB ?,PDF,L'iPhone le moins cher disponible est : iPhone 11 – 128GB : 559€,L'iPhone 11 est le moins cher en 128GB à 559€.,3
